track,MAE,MAE_std,MAPE,MAPE_std,RMSE,RMSE_std,alpha,cov_1.0σ,cov_1.5σ,cov_2.0σ,model,target,ticker,width_1.0σ,width_1.5σ,width_2.0σ
price,1.561277673599568,,0.6874444910587858,,1.9808017976402357,,,,,,Naive,gap,AAPL,,,
price,1.1542562931141955,,0.6307444825840907,,1.493586101872839,,,,,,Naive,gap,AMZN,,,
price,1.0255315253075132,,0.6320774470415109,,1.3120529891349415,,,,,,Naive,gap,GOOGL,,,
price,3.311056583485705,,0.5983147664252133,,4.202035004182369,,,,,,Naive,gap,META,,,
price,1.952336737450133,,0.4609105623247357,,2.911076902369823,,,,,,Naive,gap,MSFT,,,
price,1.4338300989029256,,1.166248204468798,,1.8123383802703257,,,,,,Naive,gap,NVDA,,,
price,3.447446457883145,,1.4709751048920816,,6.151066725562368,,,,,,Naive,gap,TSLA,,,
price,2.1719126599900265,,0.9580804429656274,,2.943323544677792,,,,,,Naive,cc,AAPL,,,
price,2.2710636220079787,,1.2493613696242076,,2.8125234468300864,,,,,,Naive,cc,AMZN,,,
price,1.59978793529754,,0.9983736302555458,,2.066948330273656,,,,,,Naive,cc,GOOGL,,,
price,5.388504352975399,,0.9745210243024469,,7.268411183112811,,,,,,Naive,cc,META,,,
price,3.387872574177194,,0.8058808826595767,,4.3161214845583675,,,,,,Naive,cc,MSFT,,,
price,2.9165961082945477,,2.3950112513762707,,3.7752289912358745,,,,,,Naive,cc,NVDA,,,
price,6.539573831761137,,2.7874197895176014,,10.105407660332835,,,,,,Naive,cc,TSLA,,,
price,1.4498160497670205,,0.638051753390879,,1.8339663223411653,,0.1,,,,Ridge,gap,AAPL,,,
price,1.2587624917401485,,0.6834119942503979,,1.6802607432072583,,1.0,,,,Ridge,gap,AMZN,,,
price,1.26189927740835,,0.7788791526846904,,1.6282297818413145,,0.1,,,,Ridge,gap,GOOGL,,,
price,4.606523178833696,,0.831879903140385,,5.993444920320671,,1.0,,,,Ridge,gap,META,,,
price,2.032639966494223,,0.4796008298211878,,2.8797704014259664,,1.0,,,,Ridge,gap,MSFT,,,
price,1.6055184059505379,,1.3339925355241926,,2.1143297514039796,,0.1,,,,Ridge,gap,NVDA,,,
price,3.6968043711587955,,1.5785019838739627,,6.334586821478291,,0.1,,,,Ridge,gap,TSLA,,,
price,2.3644560115802347,,1.040941433888834,,3.048076925787854,,1.0,,,,Ridge,cc,AAPL,,,
price,2.44707815718983,,1.3371183237374806,,3.1466680890355256,,1.0,,,,Ridge,cc,AMZN,,,
price,1.7392425538284886,,1.0921496222738996,,2.322991096497074,,1.0,,,,Ridge,cc,GOOGL,,,
price,6.633794394749039,,1.2041823583694637,,8.58189660756524,,1.0,,,,Ridge,cc,META,,,
price,3.664371944740079,,0.8711856728430645,,4.621815910130803,,1.0,,,,Ridge,cc,MSFT,,,
price,3.5095395398998073,,2.876554309460089,,4.45792499938565,,1.0,,,,Ridge,cc,NVDA,,,
price,6.505427560359401,,2.7689888586962477,,10.087470885452248,,1.0,,,,Ridge,cc,TSLA,,,
price,34.600472425673836,,15.207380382925223,,34.922782203294226,,,,,,LightGBM,gap,AAPL,,,
price,8.690418803427566,,4.630522071578154,,10.15527765573495,,,,,,LightGBM,gap,AMZN,,,
price,5.385348076784297,,3.288619270726341,,5.9493798649013705,,,,,,LightGBM,gap,GOOGL,,,
price,100.01178728452373,,17.79352660654905,,104.34743604573852,,,,,,LightGBM,gap,META,,,
price,8.795750199738869,,2.0510543231943004,,11.551397619297463,,,,,,LightGBM,gap,MSFT,,,
price,36.327176364498406,,28.617293014077006,,37.91225598343505,,,,,,LightGBM,gap,NVDA,,,
price,30.59871403157402,,12.755181126458046,,34.69366351145329,,,,,,LightGBM,gap,TSLA,,,
price,34.5795293674349,,15.196747280276929,,34.90239616750219,,,,,,LightGBM,cc,AAPL,,,
price,10.500726235040823,,5.611927082121367,,11.875792181428816,,,,,,LightGBM,cc,AMZN,,,
price,5.465221920512266,,3.3675202308487973,,5.9311119234056076,,,,,,LightGBM,cc,GOOGL,,,
price,98.70072633679273,,17.58901859944574,,103.04910097709471,,,,,,LightGBM,cc,META,,,
price,8.284912318877117,,1.942629689337452,,10.563158458490104,,,,,,LightGBM,cc,MSFT,,,
price,36.192700870870986,,28.53695644375671,,37.80036815754145,,,,,,LightGBM,cc,NVDA,,,
price,30.269674063668457,,12.545592076390037,,35.06933649992984,,,,,,LightGBM,cc,TSLA,,,
price,5.523397372631317,1.4886477526279804,2.412006814249565,0.6455385021668416,6.375218282612479,1.6389962770432207,,,,,LSTM,gap,AAPL,,,
price,6.836967176072141,1.0927346950898895,3.653567155393786,0.5866623815210699,8.012460273684368,1.083900678555478,,,,,LSTM,gap,AMZN,,,
price,4.2772909610829455,0.5564594446964876,2.637659841776542,0.3331907714647283,4.956297706705125,0.4379772723530245,,,,,LSTM,gap,GOOGL,,,
price,22.14088849006815,3.528587109450571,3.917025225921192,0.5939515603777317,25.291678961047957,4.203803338008663,,,,,LSTM,gap,META,,,
price,8.328105001246675,0.9161085703911129,1.9468129882145362,0.21244382839842527,11.02024678586391,1.1364584363748762,,,,,LSTM,gap,MSFT,,,
price,8.21370658062874,0.8415701905662826,6.508530980708149,0.6214024229307221,9.600040911183616,0.9586750763486362,,,,,LSTM,gap,NVDA,,,
price,14.840562146775266,3.573110709370243,6.138057752756547,1.4598041787250169,18.929744833874715,4.071857786773261,,,,,LSTM,gap,TSLA,,,
price,4.928416735060672,1.5318971742421665,2.15464808993467,0.6621223431295015,5.749853656086946,1.7165069596370084,,,,,LSTM,cc,AAPL,,,
price,7.1361750176612375,0.5448020080292479,3.8205973210521478,0.2917451053036797,8.257673999261469,0.5659570254387789,,,,,LSTM,cc,AMZN,,,
price,4.0645132511220075,0.4993586423818352,2.54065223387736,0.29958420589175794,4.904568179446021,0.33577533018643074,,,,,LSTM,cc,GOOGL,,,
price,27.10232751724568,5.173934586858843,4.783764775260309,0.8751230542203111,31.233469311975302,6.751174834016745,,,,,LSTM,cc,META,,,
price,8.679065460854389,0.7042447708447761,2.038876145890021,0.1614885518018929,11.083160532501207,1.0000048502416754,,,,,LSTM,cc,MSFT,,,
price,9.362406466869597,1.2332431096555758,7.4090360839665435,0.9272173750307171,10.704158372138293,1.2406814122669279,,,,,LSTM,cc,NVDA,,,
price,17.336755825610872,0.8039142137884592,7.091501851048792,0.33845572158007126,22.664689194406158,0.8107807235571683,,,,,LSTM,cc,TSLA,,,
metric_a,1.0255315253075132,,0.6320774470415109,,1.3120529891349415,,,0.9361702127659575,0.9574468085106383,0.9787234042553191,Naive,gap,GOOGL,2.7190106957986555,4.078516043697982,5.438021391597311
metric_a,1.59978793529754,,0.9983736302555458,,2.066948330273656,,,0.7659574468085106,0.8936170212765957,0.9361702127659575,Naive,cc,GOOGL,2.7286856302858493,4.093028445428775,5.457371260571699
metric_a,1.023726094581026,,0.630739110592679,,1.2847705470405653,,,0.8936170212765957,0.9787234042553191,1.0,Ridge,gap,GOOGL,2.8656397984663986,4.298459697699597,5.731279596932797
metric_a,1.546904934476049,,0.9668379326830626,,2.060348616876478,,,0.9148936170212766,0.9574468085106383,0.9574468085106383,Ridge,cc,GOOGL,3.458873956598911,5.188310934898366,6.917747913197822
metric_a,1.0237853179678302,,0.630765700614006,,1.31153671251499,,,0.9361702127659575,0.9574468085106383,1.0,LightGBM,gap,GOOGL,2.785940381562659,4.178910572343987,5.571880763125318
metric_a,1.5620699757109204,,0.9754094855260046,,2.07518302776845,,,0.9148936170212766,0.9574468085106383,0.9574468085106383,LightGBM,cc,GOOGL,3.447179278225015,5.170768917337522,6.89435855645003
metric_a,1.1526472219569381,0.09462192591752894,0.7100354453817679,0.05769836314510887,1.4349862487644678,0.10275119178492537,,0.8808510638297872,0.9787234042553191,1.0,LSTM,gap,GOOGL,2.790459041132176,4.185688561698265,5.580918082264352
metric_a,1.5546655661384532,0.041746543812538846,0.9691586412807741,0.024831628790367398,1.9812517811240202,0.020114465867266444,,0.8723404255319149,0.9574468085106383,0.9787234042553191,LSTM,cc,GOOGL,3.5459593506259095,5.318939025938863,7.091918701251819
